id,price_range
1,2
2,2
3,1
4,2
5,2
6,2
7,3
8,1
9,3
10,0
11,3
12,3
13,1
14,1
15,2
16,0
17,1
18,2
19,3
20,2
21,1
22,3
23,1
24,1
25,3
26,0
27,2
28,0
29,2
30,0
31,2
32,0
33,3
34,0
35,1
36,1
37,3
38,1
39,2
40,0
41,1
42,2
43,0
44,0
45,0
46,0
47,0
48,3
49,2
50,2
51,2
52,0
53,2
54,0
55,3
56,0
57,3
58,1
59,0
60,3
61,3
62,2
63,0
64,1
65,1
66,1
67,2
68,2
69,1
70,1
71,2
72,2
73,2
74,3
75,3
76,0
77,2
78,0
79,2
80,3
81,0
82,3
83,3
84,0
85,3
86,1
87,2
88,1
89,2
90,0
91,2
92,1
93,2
94,1
95,2
96,1
97,1
98,2
99,2
100,2
101,1
102,0
103,0
104,3
105,0
106,2
107,1
108,0
109,2
110,3
111,3
112,3
113,2
114,3
115,3
116,2
117,3
118,3
119,3
120,0
121,0
122,2
123,2
124,1
125,2
126,1
127,3
128,1
129,2
130,1
131,0
132,3
133,2
134,2
135,3
136,1
137,1
138,0
139,3
140,2
141,1
142,2
143,2
144,3
145,2
146,3
147,3
148,2
149,3
150,3
151,2
152,3
153,1
154,0
155,2
156,2
157,3
158,3
159,2
160,3
161,3
162,2
163,3
164,3
165,3
166,2
167,0
168,0
169,3
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,2
181,1
182,0
183,1
184,1
185,0
186,2
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,3
195,1
196,0
197,2
198,2
199,3
200,2
201,1
202,2
203,2
204,3
205,3
206,2
207,1
208,1
209,0
210,0
211,0
212,3
213,0
214,3
215,2
216,3
217,0
218,2
219,0
220,2
221,2
222,2
223,3
224,1
225,0
226,1
227,0
228,2
229,0
230,0
231,0
232,2
233,2
234,1
235,3
236,1
237,2
238,0
239,3
240,1
241,2
242,0
243,0
244,2
245,0
246,2
247,3
248,3
249,1
250,0
251,3
252,0
253,0
254,2
255,2
256,3
257,1
258,3
259,1
260,1
261,3
262,2
263,1
264,2
265,3
266,2
267,3
268,1
